,Body,Actual Tags,Predicted Tags
27,進化版健髮豐潤洗髮精,"('洗髮精',)","('洗髮精',)"
28,怪獸部落無膠鮮肉煲副食罐湯罐犬貓副食無膠全口味官方直送效期最新,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
29,煙燻墨西哥辣醬,"('常溫醬包',)","('常溫醬包',)"
30,渴望成犬專用野牧鮮雞鮮魚挑嘴配方,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
31,莎啦莎啦櫻花彈力沐浴乳,"('沐浴乳',)","('沐浴乳',)"
32,白蘭氏黑醋栗金盞花葉黃素精華飲入,"('葉黃素',)","('葉黃素',)"
33,黑豆桑天然極品頂級厚黑金醬油不含麥麩,"('醬油類',)","('醬油類',)"
34,心機眉粉粉蕊,"('眉粉',)","('眉粉',)"
35,加好寶貓糧鮪魚,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
36,寶路乾糧雞肉及蔬菜口,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
37,櫻花馬油潤膚霜,"('面霜/乳霜',)","('面霜/乳霜',)"
38,花王植萃弱酸洗髮精兒童專用,"('洗髮精(嬰幼童/孕婦)',)","('洗髮精(嬰幼童/孕婦)',)"
39,義大利氣泡礦泉水,"('氣泡水',)","('氣泡水',)"
40,可麗舒單抽衛生紙抽包箱,"('衛生紙',)","('衛生紙',)"
41,淨世代環保衛生紙,"('衛生紙',)","('衛生紙',)"
42,星空灰,"('筆記型電腦',)",()
43,德國洗衣去漬皂入,"('洗衣皂',)","('洗衣皂',)"
44,國際吋連網液晶顯示器視訊盒,"('液晶電視',)","('液晶電視',)"
45,代收代付寵喵樂旗艦店單罐湯汁機能貓罐組,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
46,海尼根啤酒罐,"('啤酒',)","('啤酒',)"
47,微卡蒟蒻拌麵系列盒份入泰式酸辣,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
48,職人系列經典風味濾掛式咖啡盒組共入,"('濾掛/耳掛咖啡',)","('濾掛/耳掛咖啡',)"
49,經典緞光唇膏暮光,"('唇膏',)","('唇膏',)"
50,健安喜維生素食品錠錠,"('維他命B',)","('維他命C',)"
51,馬油修復護手霜瓶粉黃藍各瓶東森幣特惠網,"('護手霜',)","('護手霜',)"
52,飛利浦智慧變頻電磁爐,"('電磁爐',)","('電磁爐',)"
53,曼秀雷敦恬漾潤唇凍膏玻,"('護唇膏',)","('護唇膏',)"
54,巴黎萊雅礦物淨化泥面膜毛孔緊緻型,"('面膜',)","('面膜',)"
55,施巴嬌顏卸妝乳,"('卸妝乳',)","('卸妝乳',)"
56,加好寶乾狗糧牛肉口味,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
57,凱婷懷舊摩登眼影盒,"('眼影盤',)","('眼影盤',)"
58,刷樂兒童含氟牙膏草莓口味,"('兒童牙膏',)","('兒童牙膏',)"
59,極細眼線膠筆淺棕,"('眼線膠筆',)","('眼線膠筆',)"
60,希爾思貓處方全效配方,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
61,買光萃維他命,"('維他命C',)","('維他命C',)"
62,森田藥粧買送活氧保濕凝露面膜入,"('面膜',)","('面膜',)"
63,好自在純肌安睡褲片夜用生理褲衛生棉,"('棉褲/安睡褲',)","('棉褲/安睡褲',)"
64,勁威衛生套平滑,"('保險套',)","('保險套',)"
65,拋棄式壓縮毛巾一次性毛巾全棉自製濕紙巾手帕拋棄式壓縮毛巾入米菈生活館,"('濕紙巾',)","('濕紙巾',)"
66,腕式心率音樂跑錶公司貨一年保,"('智慧錶',)","('智慧錶',)"
67,和平香菸毫克支,"('菸',)","('菸',)"
68,鍋寶日式不沾炒鍋,"('鍋具',)","('鍋具',)"
69,愛爾康視舒坦人工,"('人工淚液',)","('人工淚液',)"
70,巴黎萊雅完美全效防曬水精華,"('防曬',)","('防曬',)"
71,森田藥粧速效保濕補水面膜,"('面膜',)","('面膜',)"
72,貝親加厚型純水濕巾抽入組,"('濕紙巾',)","('濕紙巾',)"
73,樂健飛犬用寵物超級褐藻潔牙粉,"('狗乾糧罐頭',)","('狗零食',)"
74,藍風鈴洗髮精,"('洗髮精',)","('洗髮精',)"
75,麗仕璐咪可舒緩空氣感洗髮精,"('洗髮精',)","('洗髮精',)"
76,小獅王雙凹奶瓶,"('奶瓶',)","('奶瓶',)"
77,現貨韓國不倒翁炸醬麵入包效期,"('速食麵/泡麵',)","('速食麵/泡麵',)"
78,迪奧搶眼造型眉粉,"('眉粉',)","('眉粉',)"
79,冰結調酒蜂蜜檸檬,"('RTD調酒',)","('RTD調酒',)"
80,葡萄王益菌王粒,"('益生菌',)","('益生菌',)"
81,快潔適抑菌濕巾小黃鴨厚型抽,"('濕紙巾',)","('濕紙巾',)"
82,德記洋行烏龍茶,"('即飲烏龍茶',)","('即飲烏龍茶',)"
83,耐吉長褲女款運動長褲縮口褲慢跑健身黑,"('運動/機能服',)","('運動/機能服',)"
84,女神香氛沐浴乳小蒼蘭,"('沐浴乳',)","('沐浴乳',)"
85,好奇純水濕巾迪士尼厚型抽抽包串,"('濕紙巾',)","('濕紙巾',)"
86,味全林鳳營鮮乳全脂,"('鮮乳',)","('鮮乳',)"
87,泰山檸檬氣泡水,"('氣泡水',)","('氣泡水',)"
88,單色眼影,"('眼影盤',)","('眼影盤',)"
89,妮維雅絲滑乳液,"('臉部乳液',)","('臉部乳液',)"
90,洗面乳抗痘美白,"('洗面乳',)","('洗面乳',)"
91,空氣定格粉餅自然,"('粉餅',)","('粉餅',)"
92,寶路雞肉嚼棒,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
93,無線吸塵器,"('吸塵器',)","('吸塵器',)"
94,藍吋獨顯筆電,"('筆記型電腦',)","('筆記型電腦',)"
95,一包胡椒鹽和番茄醬,"('常溫醬包',)","('常溫醬包',)"
96,七星支,"('菸',)","('菸',)"
97,渦濃密纖長睫毛膏慕沙卡其,"('睫毛膏',)","('睫毛膏',)"
98,法國特福全新鈦升級璀璨系列不沾鍋深炒鍋蓋炒平炒平蓋,"('鍋具',)","('鍋具',)"
99,曼秀雷敦水凝護手霜綠,"('護手霜',)","('護手霜',)"
100,咪歐啾咪棒雞肉雞肝口味肉泥入,"('貓零食',)","('貓零食',)"
101,思波綺瞬亮修護護髮霧,"('護髮乳',)","('護髮乳',)"
102,多芬秀髮防護罩微米防護精華洗髮護髮乳輕盈純淨微米豐盈輕盈柔亮,"('護髮乳',)","('護髮乳',)"
103,晶工牌雙溫控不鏽鋼旋風烤箱,"('烤箱',)","('烤箱',)"
104,軟糖晶明葉黃素,"('葉黃素',)","('葉黃素',)"
105,黑豆漿大無糖,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
106,萌髮洗髮精柔順控油瓶瓶,"('洗髮精',)","('洗髮精',)"
107,加好寶乾狗糧雞肉口味,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
108,開插分接斷電插座,"('菸',)","('菸',)"
109,精油修護髮膜,"('護髮乳',)","('護髮乳',)"
110,男女休閒鞋黑,"('運動鞋',)","('運動鞋',)"
111,萬家香非基改陳年醬油桶,"('醬油類',)","('醬油類',)"
112,大藝術家自動眉筆深棕色,"('眉筆',)","('眉筆',)"
113,代收代付歐蕾緊緻塑顏精華效期淨妍美肌,"('精華液',)","('精華液',)"
114,訓練短褲橄欖綠,"('運動/機能服',)","('運動/機能服',)"
115,日落恩賜薑黃,"('薑黃',)","('薑黃',)"
116,護妍嫩白菁華液,"('精華液',)","('精華液',)"
117,無線滑鼠型號,"('滑鼠',)","('滑鼠',)"
118,好奇純水嬰兒濕巾一般型抽包串箱,"('濕紙巾',)","('濕紙巾',)"
119,三詩達爽快頭皮洗髮精,"('洗髮精',)","('洗髮精',)"
120,伊麗雅薑黃養髮洗髮精養髮無矽靈強化髮根,"('洗髮精',)","('洗髮精',)"
121,專科超微米潔顏乳櫻花限量,"('洗面乳',)","('洗面乳',)"
122,歐樂名典牙刷軟毛號,"('成人牙刷',)","('成人牙刷',)"
123,德恩奈牙齦護理牙膏買送組蝦皮現貨,"('成人牙膏',)","('成人牙膏',)"
124,男連帽長袖套頭衫,"('運動/機能服',)","('運動/機能服',)"
125,喜馬拉雅蓮花柔亮潤髮乳,"('潤髮乳',)","('潤髮乳',)"
126,蘇菲導管式棉條量少型入,"('棉條',)","('棉條',)"
127,賈以食日麻薑麵袋入,"('快煮麵/乾拌麵',)","('快煮麵/乾拌麵',)"
128,蒂沐蝶金盞花修護植萃護髮,"('護髮乳',)","('護髮乳',)"
129,桂格奶粉強大三益菌號小朋友奶粉,"('成長幼兒奶粉',)","('成長幼兒奶粉',)"
130,一對三摺疊藍牙鍵盤黑,"('鍵盤',)","('鍵盤',)"
131,無添加溫和滋潤泡沫洗面乳,"('洗面乳',)","('洗面乳',)"
132,肌研卵肌洗面乳,"('洗面乳',)","('洗面乳',)"
133,雀巢金牌阿拉比卡濾掛咖啡深烘焙盒組入盒,"('濾掛/耳掛咖啡',)","('濾掛/耳掛咖啡',)"
134,水玻璃甜甜樂分離式除濕機綜合組含還原座加贈旋風,"('除濕機',)","('除濕機',)"
135,美白隔離霜透亮紫勻透綠柔光粉,"('妝前乳/隔離霜',)","('妝前乳/隔離霜',)"
136,現貨雙色眼影全新改版新包裝聖保羅伊索德吉隆坡,"('眼影盤',)","('眼影盤',)"
137,大同人份微電腦電子鍋網,"('電子鍋',)","('電子鍋',)"
138,號長壽,"('菸',)","('菸',)"
139,潘婷強韌頭髮減少斷裂潤髮精華素,"('潤髮乳',)","('潤髮乳',)"
140,高露潔淨蓮牙刷,"('成人牙刷',)","('成人牙刷',)"
141,碧歐斯金萃喚膚潔面霜,"('洗面乳',)","('洗面乳',)"
142,買原萃綠茶玉露入,"('即飲無糖茶', '即飲綠茶')","('即飲無糖茶', '即飲綠茶')"
143,神經醯胺保濕精華,"('精華液',)","('精華液',)"
144,西莎餐盒野菜牛,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
145,光泉豆漿燕麥高纖瓶瓶,"('調味豆漿',)",()
146,台灣現貨天天寄枕邊玩物穿戴美甲片假指甲貼片美甲成品可拆卸甲片漸變跳色甲片,"('甲片/甲貼',)","('甲片/甲貼',)"
147,聯想吋商務筆電聊聊再優惠,"('筆記型電腦',)","('筆記型電腦',)"
148,貓倍麗成貓乾糧化毛配方,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
149,日立級變頻門電冰箱香檳不鏽鋼,"('冰箱',)","('冰箱',)"
150,德國歐坷蔓草本蘆薈保濕化妝水,"('化妝水',)","('化妝水',)"
151,博寶兒純水濕巾厚型抽佩佩豬,"('濕紙巾',)","('濕紙巾',)"
152,大同人份電鍋綠色,"('電鍋',)","('電鍋',)"
153,楓康古早味無糖豆漿,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
154,我的心機肌優安瓶瞬活鎖水面膜盒裝入康是美,"('面膜',)","('面膜',)"
155,第標晚羅崴詩極致潤澤茶花護髮精華油,"('護髮乳',)","('護髮乳',)"
156,含發票現貨日春神奇去污皂婆婆媽媽瘋狂推薦回購率的洗衣神器萬用神奇去汙皂強力洗衣皂清潔皂家事皂,"('洗衣皂',)","('洗衣皂',)"
157,倍潔雅柔軟舒適抽取式衛生紙抽包箱,"('衛生紙',)","('衛生紙',)"
158,公升小烤箱,"('烤箱',)","('烤箱',)"
159,毛寶天然洗衣精補,"('洗衣精',)","('洗衣精',)"
160,華佗十全滋補雞精入,"('雞精',)","('雞精',)"
161,液晶顯示器,"('液晶電視',)","('液晶電視',)"
162,白人抗敏感牙膏一支,"('成人牙膏',)","('成人牙膏',)"
163,色眼影盤璀璨經典,"('眼影盤',)","('眼影盤',)"
164,日本熊野馬油無矽靈洗髮精潤髮乳小三美日,"('潤髮乳',)","('潤髮乳',)"
165,馬油無矽靈洗髮精,"('洗髮精',)","('洗髮精',)"
166,光泉水蜜桃綜合優酪乳,"('優酪乳',)","('優酪乳',)"
167,羅多倫濃醇咖啡,"('即飲咖啡',)","('即飲咖啡',)"
168,加倍潔白洗衣粉,"('洗衣粉',)","('洗衣粉',)"
169,整箱罐惜時聖萊西貓餐罐有效減低結石幫助消化吸收寵物日記,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
170,艾美特電暖器,"('電暖器',)","('電暖器',)"
171,超微米潔顏乳新升級,"('洗面乳',)","('洗面乳',)"
172,任天堂灰黑主機電池加強版一片遊戲片,"('電視遊戲機',)","('電視遊戲機',)"
173,清淨海檸檬系列環保洗衣精補充包箱購入組,"('洗衣精',)","('洗衣精',)"
174,大膽持色霧感唇膏慵懶街貓,"('唇膏',)","('唇膏',)"
175,雙效眉粉筆,"('眉筆',)","('眉筆',)"
176,毛寶低泡沫小蘇打洗衣液體皂,"('洗衣精',)","('洗衣精',)"
177,水感透顏粉底精華明,"('粉底液',)","('粉底液',)"
178,貝利達牙齦護理牙膏,"('成人牙膏',)","('成人牙膏',)"
179,東芝型安卓區域控光廣色域六真色年保智慧聯網三規液晶顯示器,"('液晶電視',)","('液晶電視',)"
180,粉靜音,"('滑鼠',)","('滑鼠',)"
181,阿葵亞瞬護賦活潤髮乳,"('潤髮乳',)","('潤髮乳',)"
182,奈森克林水滴將純水濕巾抽包共包箱,"('濕紙巾',)","('濕紙巾',)"
183,完美裸肌校色遮瑕膏,"('遮瑕膏',)","('遮瑕膏',)"
184,優沛特螺旋潔牙骨葉綠素小袋裝,"('狗零食',)","('狗零食',)"
185,珊諾潤膚乳液,"('身體乳液',)","('身體乳液',)"
186,桂格即沖即食大燕麥片,"('麥片穀類',)","('麥片穀類',)"
187,抗寒必備美國熱銷智能微電腦電暖器,"('電暖器',)","('電暖器',)"
188,水平衡香水潤護髮乳羞澀初告白,"('護髮乳',)","('護髮乳',)"
189,彈力動感牙刷中性毛,"('成人牙刷',)","('成人牙刷',)"
190,上山採藥純米水漾淨白洗顏,"('洗面乳',)","('洗面乳',)"
191,特選濃縮咖啡,"('即飲咖啡',)","('即飲咖啡',)"
192,天天美麗冰河醣蛋白極潤修護膠囊面膜單片,"('面膜',)","('面膜',)"
193,白金貓罐雞肉牛肉絲罐箱,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
194,極緻璀璨亮白護理牙膏沁香薄荷,"('成人牙膏',)","('成人牙膏',)"
195,麥香阿薩姆紅茶,"('即飲紅茶',)","('即飲紅茶',)"
196,可伶可俐清痘草本洗面露條,"('洗面乳',)","('洗面乳',)"
197,桂冠魚餃粒入,"('火鍋料',)","('火鍋料',)"
198,正品小米手環手環小米手環手環智能手環運動手環小米小米手環智慧手環小米手環,"('智慧錶',)","('智慧錶',)"
199,心機眉筆筆芯,"('眉筆',)","('眉筆',)"
200,佐登妮絲鎂光銀燦緊緻精華液鎂光銀燦保濕精華液效期至,"('精華液',)","('精華液',)"
201,高露潔專業型牙刷入,"('成人牙刷',)","('成人牙刷',)"
202,洗顏專科超微米洗顏乳新升級,"('洗面乳',)","('洗面乳',)"
203,蘋果西打,"('碳酸飲料',)","('碳酸飲料',)"
204,精製即溶咖啡,"('即溶咖啡',)","('即溶咖啡',)"
205,麒麟午後紅茶奶茶入,"('即飲奶茶',)","('即飲奶茶',)"
206,毛孩王機能湯貓罐,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
207,清爽沐浴乳青檸橙花,"('沐浴乳',)","('沐浴乳',)"
208,潤髮乳,"('潤髮乳',)","('潤髮乳',)"
209,雪芙蘭親貝比嬰幼兒全效滋潤乳液,"('臉部乳液',)","('臉部乳液',)"
210,水平衡超濃密水感泡泡洗面乳亮白淨透清爽水嫩深層控油,"('洗面乳',)","('洗面乳',)"
211,紐頓成貓雞肉鮭魚,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
212,味味排骨雞麵包入,"('速食麵/泡麵',)","('速食麵/泡麵',)"
213,濟州島火山泥毛孔調理潔顏泡泡,"('洗面乳',)","('洗面乳',)"
214,台灣啤酒甘甜鳳梨,"('啤酒',)","('啤酒',)"
215,偉嘉海洋魚類貓乾糧,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
216,卡樂芙亮彩護色修護洗髮精,"('洗髮精',)","('洗髮精',)"
217,曼秀雷敦冬季限定潤唇膏入加碼再送全家中杯咖啡券,"('護唇膏',)","('護唇膏',)"
218,桂格神奇高鈣燕麥片罐,"('麥片穀類',)","('麥片穀類',)"
219,花王洗髮精清新順滑瓶,"('洗髮精(嬰幼童/孕婦)',)","('洗髮精',)"
220,歌林三人份電鍋,"('電鍋',)","('電鍋',)"
221,眼影暈染刷,"('眼影刷/棒',)","('眼影刷/棒',)"
222,植感微醺櫻花香氛噴霧入組送限定櫻花束口袋五款香味任選免運費開運首選,"('RTD調酒',)","('RTD調酒',)"
223,虎牌啤酒,"('啤酒',)","('啤酒',)"
224,粉嫩果漾絲絨腮紅凍,"('腮紅',)","('腮紅',)"
225,飛柔三合一護髮洗髮乳,"('洗髮精', '護髮乳')","('洗髮精',)"
226,東元三段溫控雙重給水熱水瓶,"('電熱水瓶',)","('電熱水瓶',)"
227,膚蕊美肌淨透霜潤澤自然膚色,"('BB霜',)","('BB霜',)"
228,心機裸膚柔霧蜜粉,"('蜜粉',)","('蜜粉',)"
229,萊雅護髮精油,"('護髮乳',)","('護髮乳',)"
230,宅藍,"('智慧型手機',)","('智慧型手機',)"
231,日本創離子翻轉風專業沙龍級負離子吹風機白色,"('吹風機',)","('吹風機',)"
232,愛康抗菌衛生棉護墊片,"('衛生棉',)","('衛生棉',)"
233,朝日啤酒本生藍,"('啤酒',)","('啤酒',)"
234,依必朗兒童抗菌洗髮乳瓶瓶,"('洗髮精(嬰幼童/孕婦)',)","('洗髮精(嬰幼童/孕婦)',)"
235,康乃馨抗菌潔膚濕巾,"('濕紙巾',)","('濕紙巾',)"
236,輕甜花語奢華香水洗髮精,"('洗髮精',)","('洗髮精',)"
237,瑪宣妮莓果珍珠潤髮乳蓬鬆感,"('潤髮乳',)","('潤髮乳',)"
238,大補帖當歸鴨風味細麵入桶,"('速食麵/泡麵',)","('速食麵/泡麵',)"
239,冰河泥清爽控油洗顏乳,"('洗面乳',)","('洗面乳',)"
240,白蘭氏雙認證雞精入,"('雞精',)","('雞精',)"
241,三段切換無線滑鼠綠,"('滑鼠',)","('滑鼠',)"
242,高絲潤白保濕霜入組,"('BB霜',)",()
243,放縱微霧唇釉,"('唇釉',)","('唇釉',)"
244,智能管家無線手持氣旋式多功能除蟎吸塵器,"('吸塵器',)","('吸塵器',)"
245,德國科技精算比例修身防水大衣玫瑰粉,"('運動/機能服',)","('運動/機能服',)"
246,檸檬紅茶,"('即飲紅茶',)","('即飲紅茶',)"
247,摩卡原味三合一咖啡,"('即溶咖啡',)","('即溶咖啡',)"
248,特辣辣椒醬,"('常溫醬包',)","('常溫醬包',)"
249,大容量玻璃快煮壺,"('快煮壺',)","('快煮壺',)"
250,台塑生醫髮根強化洗髮精清爽感升級版,"('洗髮精',)","('洗髮精',)"
251,激膚無感衣三件組男女款短袖恤排汗衫涼感衣共色輕量超防曬團體服,"('運動/機能服',)","('運動/機能服',)"
252,代收代付挪威葉片式電暖器適用空間坪,"('電暖器',)","('電暖器',)"
253,金色型號,"('智慧型手機',)","('智慧型手機',)"
254,國際牌吹風機,"('吹風機',)","('吹風機',)"
255,白蘭氏冬蟲夏草雞精,"('雞精',)","('雞精',)"
256,輕巧型吹風機,"('吹風機',)","('吹風機',)"
257,回饋吋,"('智慧型手機',)",()
258,極鮮配鈺女王古早味純手工安心蛋餃份,"('火鍋料',)","('火鍋料',)"
259,屈臣氏保濕修護潤唇精華,"('護唇精華',)","('護唇精華',)"
260,味全天然水箱共入,"('礦泉水',)","('礦泉水',)"
261,煎鍋,"('鍋具',)","('鍋具',)"
262,細版牙刷軟,"('成人牙刷',)","('成人牙刷',)"
263,加倍潔茶樹小蘇打制菌潔白洗衣粉入箱,"('洗衣粉',)","('洗衣粉',)"
264,思波綺金耀瞬護髮膜,"('護髮乳',)","('護髮乳',)"
265,悅氏悅氏礦泉氣泡水瓶箱,"('氣泡水',)","('氣泡水',)"
266,頸套,"('運動鞋',)",()
267,西莎低脂火雞高纖蔬菜乾狗,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
268,三角形眉筆駱駝咖啡色,"('眉筆',)","('眉筆',)"
269,淨植萃頭皮煥活洗髮露水潤平衡,"('洗髮精',)","('洗髮精',)"
270,凱婷炫光主役調色腮紅,"('腮紅',)","('腮紅',)"
271,奈森克林濃縮強效洗衣精防霉抗菌洗衣精補充包福利社,"('洗衣精',)","('洗衣精',)"
272,澎澎香浴乳水嫩清爽,"('沐浴乳',)","('沐浴乳',)"
273,光泉鮮豆漿低糖,"('豆漿/黑豆漿',)","('豆漿/黑豆漿',)"
274,林鳳營特濃重乳優格微甜,"('優格',)","('優格',)"
275,玩美持色指甲油午夜小酒館,"('指甲油',)","('指甲油',)"
276,快速到貨主機藍紅健身環大冒險包貼組,"('電視遊戲機',)","('電視遊戲機',)"
277,紅三鍵式光學滑鼠,"('滑鼠',)","('滑鼠',)"
278,貝親手口專用濕紙巾抽,"('濕紙巾',)","('濕紙巾',)"
279,杜蕾斯凸點入螺紋入保險套盒組,"('保險套',)","('保險套',)"
280,眉毛設計師眉彩盤,"('眉粉',)","('眉粉',)"
281,白蘭酵素奈米除菌洗衣精補,"('洗衣精',)","('洗衣精',)"
282,好奇純水嬰兒濕巾厚型抽包箱奇奇蒂蒂限定版,"('濕紙巾',)","('濕紙巾',)"
283,奈森克林純水柔濕巾出貨台灣現貨小麥購物濕紙巾隨身包濕巾純水紙巾柔濕巾紙巾純水濕巾,"('濕紙巾',)","('濕紙巾',)"
284,網狐家居大理石珪藻土瞬吸地墊,"('珪藻土地墊',)","('珪藻土地墊',)"
285,高露潔纖柔備長炭牙刷入裝,"('成人牙刷',)","('成人牙刷',)"
286,耐吉大童女鞋慢跑氣墊避震運動鞋黑金,"('運動鞋',)","('運動鞋',)"
287,玩美持色指甲油,"('指甲油',)","('指甲油',)"
288,牙周適固齒護齦亮白牙膏,"('成人牙膏',)","('成人牙膏',)"
289,合造型眉筆,"('眉筆',)","('眉筆',)"
290,美咖水感遮瑕液自然色,"('遮瑕液',)","('遮瑕液',)"
291,葡萄王人蔘蜆群雙層加強錠錠,"('維他命B',)","('維他命B',)"
292,白蘭氏雙認證雞精瓶盒,"('雞精',)","('雞精',)"
293,代收代付台灣雲林農會歐美淨檸檬環保洗衣球包,"('洗衣球',)","('洗衣球',)"
294,御茶園特上紅茶,"('即飲紅茶',)","('即飲紅茶',)"
295,歐都納男款防風刷毛保暖長褲碳灰抗潑水防風舒適彈性,"('運動/機能服',)","('運動/機能服',)"
296,代收代付原廠保固美國吋液晶顯示器視訊盒,"('液晶電視',)","('液晶電視',)"
297,長效待肌無瑕輕粉底官方旗艦店,"('粉底液',)","('粉底液',)"
298,青春無敵健康調理面膜,"('面膜',)","('面膜',)"
299,滿意濕巾厚型外出包,"('濕紙巾',)","('濕紙巾',)"
300,男慢跑鞋,"('運動鞋',)","('運動鞋',)"
301,維力麻醬麵,"('速食麵/泡麵',)","('速食麵/泡麵',)"
302,舒味思伯爵紅茶氣泡水,"('氣泡水',)","('氣泡水',)"
303,羅技無線滑鼠黑,"('滑鼠',)","('滑鼠',)"
304,天然零食狗狗冷凍乾燥系列沙丁牛肉球,"('狗零食',)","('狗零食',)"
305,奇蹟洗髮露同名花語,"('洗髮精',)","('洗髮精',)"
306,一匙靈極速淨超濃縮洗衣精補充包愛買,"('洗衣精',)","('洗衣精',)"
307,連帽外套男,"('運動/機能服',)","('運動/機能服',)"
308,潤浸保濕防曬乳臉部用,"('防曬',)","('防曬',)"
309,柏萊富狗糧磅幼犬成犬低卡特調全齡犬狗飼料犬飼料無穀飼料,"('狗乾糧罐頭',)","('狗乾糧罐頭',)"
310,黑松茶尋味新日式綠茶愛買,"('即飲綠茶',)","('即飲綠茶',)"
311,沙宣滋潤潤髮乳,"('潤髮乳',)","('潤髮乳',)"
312,思波綺瞬亮修護洗髮乳,"('洗髮精',)","('洗髮精',)"
313,比利時水果啤酒櫻桃,"('啤酒',)","('啤酒',)"
314,抗菌濕巾新加坡原裝進口無香精低過敏性嬰兒抗菌濕紙巾包入包片現貨供應,"('濕紙巾',)","('濕紙巾',)"
315,白雪乳霜洗髮乳,"('洗髮精',)","('洗髮精',)"
316,貝膚黛瑪舒敏高效潔膚液入組,"('卸妝水',)","('卸妝水',)"
317,澡享沐浴乳白茶,"('沐浴乳',)","('沐浴乳',)"
318,四季茶園紅玉紅茶,"('即飲紅茶',)","('即飲紅茶',)"
319,韓國彈性活膚面膜包,"('面膜',)","('面膜',)"
320,彼得好咖啡,"('即飲咖啡',)","('即飲咖啡',)"
321,可口可樂纖特價,"('碳酸飲料',)","('碳酸飲料',)"
322,邦比貓餐罐白身鮪魚雞肉,"('貓乾糧罐頭',)","('貓乾糧罐頭',)"
323,淨化杏仁酸面膜入片,"('面膜',)","('面膜',)"
324,爵戀抗扁塌護髮乳細軟髮用,"('護髮乳',)","('護髮乳',)"
325,露華濃經典璀璨唇膏檀香氣息,"('唇膏',)","('唇膏',)"
326,三多羊奶粉,"('成人奶粉',)","('成人奶粉',)"
327,利捷維有酵維生素群鐵錠錠,"('維他命B',)","('維他命B',)"
328,光磁微動滑鼠,"('滑鼠',)","('滑鼠',)"
