,name,brand,momo,shopee
52168,澳洲dannswel兒童益生菌牙膏150g草莓低氟香橙無氟麗兒采家,Other,None,GIMPET
52172,台灣製drpiz沛思頂級沙龍沐浴露,Other,None,Dr.Piz 沛思
52188,e西歐沙犬用98無穀全肉罐草飼牛170g,Other,None,COACH 蔻馳
52319,0490128限1加2以上不出貨renes卸光光律動膠2瓶arenes隔離潤膚bb霜35ml1瓶,Other,None,COACH 蔻馳
52357,麗得姿珍珠光美白彈潤面膜5入,Other,None,LEADERS
52415,ipadmagickeyboard11blacktwe,Other,None,COACH 蔻馳
52425,雲摩爾長支藍,Other,None,
52457,免運萬國15人份機械式電子鍋ns2700s附發票ns2700s9061原廠保固可刷卡可分期,Other,None,WANNGWO 萬國牌
52483,韓國cj韓式辣椒醬500g,Other,None,CJ CHEILJEDANG
52512,zott德國水果優格,Other,None,Jinart
52551,baraka鷹嘴豆罐,Other,None,
52556,arvohome舒眠磨毛質感裸睡4件組極簡素色床包組輕盈透氣鬆緊床包親膚助眠輕薄被套單人加大床包組速,Other,None,
52640,bt21vtart立體修容筆shooky,Other,None,Etude House
52647,candypoppy魅力風味爆米花微醺奶酒50g奶素氣炸無麩質零食餅乾糖果禮物,Other,None,CANDY POPPY 菓糖爆米花
52687,kaokid日本花王日本製造兒童牙膏哈密瓜蘇打草莓葡萄70g嬰兒孩童可吞食寶寶木糖醇水果味,Other,None,Kao 花王
52699,ecfiesta洗臉,Other,None,COACH 蔻馳
52727,英國梵提曼保加利亞玫瑰檸檬汽水275ml3入,Other,None,愛潔
52774,德國dedakj穴位揉捏溫熱腳底按摩器腳底按摩器足部紓壓,Other,None,
52786,csmart高轉速電動食物料理機粉,Other,None,
52796,沒有牛燕麥奶經典原味300ml,Other,None,DOG CAT STAR 汪喵星球
52801,yoshi時尚奶茶色中眼影刷,Other,None,YOSHI
52821,衛普75酒精濕紙巾60抽濕紙巾衛生紙巾酒精擦紙巾歐文購物,Other,None,
52837,lemonsolo軟式硅藻土速乾吸水地墊1入lmv110長方金奢玉夜,Other,None,
52914,萊恩家全宏真食臺灣寵物零食狗零食無鹽無防腐劑台灣製造雞肉乾雞肉條寵物點心,Other,None,
52925,乖乖吃飯小幫手lab52齒妍堂海苔酥2入組50g入拌飯料理無添加糖鹽汪汪隊葉黃素兒童海苔配飯海苔,Other,None,Lab52 齒妍堂
52974,紅包888現折免費加碼再送1瓶啟動四重代謝力孅益薑黃100粒2瓶加碼送30粒1瓶,Other,None,COACH 蔻馳
52994,puttisu彩色碰碰兒童指甲油蜜桃粉8mlc16韓國原裝進口,Other,None,townleygirl
53004,自然零優酪乳無糖,Other,None,
53010,團鮮乳坊玻妞優格,Other,None,TOMA-PRO 優格
53022,香檸蜜柚冷萃咖啡20220204b6juk0hp,Other,None,COFFEST 大隱珈琲
53057,arvohome日系拼色系列被套4件組親膚床包組民宿英文字刺繡拼色床包組撞色被套組裸睡豆腐眠絲滑,Other,None,
53070,日本肯特晶球涼菸,Other,None,UHA 味覺糖
53089,14000704584曦品文創咖啡魅力台灣系列掛耳包綜合10入,Other,None,
53124,cj韓式辣椒醬韓國連續七年銷售第一的辣椒醬現貨蝦皮直送,Other,None,CJ CHEILJEDANG
53155,now迷迭香純精油30mlnowfoods榮獲美國總統獎美國原瓶原裝香氛,Other,None,NOW
53171,peachlife現貨日式水洗棉咖啡床包組床包被套枕套大地色皺褶透氣舒適簡約床寢單人雙人加大雙人,Other,None,
53190,nutroone3秒極速調重家用啞鈴525磅單支裝2入贈底座,Other,None,COACH 蔻馳
53278,輕身体艷柑橘精油洗衣精環保補充包2000ml超取限2包妮絲小舖laundry,Other,None,YUNGFU YFC 永福
53289,tumaz月熊健身nbr高密度瑜珈運動墊10mm草莓牛奶,Other,None,
53292,吉祥開運坊居家化煞招財超強回頭麒麟化煞山海鎮麒麟山海鎮小型開光擇日,Other,None,吉祥開運坊
53337,scalpd絲凱露d實力派美萌睫毛膏6ml渡邊直美咖啡色黑色纖長捲翹濃密防水,Other,None,ANGFA
53340,焙香決明大麥barleyteawithcassia,Other,None,
53345,hybolar水漾保濕面膜敏感肌皮秒雷射後修護抗敏鎮靜修復面膜無甘油丙二醇等低價化工保濕劑,Other,None,Hybolar 海玻啦
53377,止膿敏點眼液15cc瓶,Other,None,
53418,代收代付苦行生技將軍黑豆蔭油膏420毫升,Other,None,SauceCo. 味榮
53439,白蘭強效除螨超濃縮洗衣精27kg洗衣精衣物洗滌強效除螨抗過敏抗塵螨大份量日用品雷霆百貨5332,Other,None,白蘭
53458,台糖礦泉水1500cc9144,Other,None,台糖
53542,6922208431070九陽多功能料理鍋莎莉k12d63ms莎莉,Other,None,Joyoung 九陽
53546,2020appleipadair109吋64gwifi綠色myfr2taa,Other,None,Apple 蘋果
53587,日本東邦強力去污皂133g,Other,None,dm
53632,現貨宅配免運有發票刷卡24瓶含運624元evian愛維養天然礦泉水330ml,Other,None,evian
53651,日本大王境內一般版迪士尼拉拉褲3包裝mlxlxxl廠商直送,Other,None,GOO.N 大王
53661,macminiapplem1chipwith8corecpuand8coregpu256gbssd,Other,None,COACH 蔻馳
53669,岱思夢小鹿斑比頂級法蘭絨床包組單人雙人加大兩用毯被套法萊絨超取有出貨限制詳請參閱內容說明,Other,None,DESMOND 岱思夢
53708,sebamed施巴ph55深層淨透潔面露150ml德國原裝進口門市經營購物有保障小小樂園,Other,None,sebamed 施巴
53823,全聯旁邊東方麒麟,Other,None,RIOT GAMES
53835,jpgo日本購日本製王子製紙nepia抽取式超柔濕紙巾補充包隨身包60枚入,Other,None,
53848,syokuren北海道北斗七星米,Other,None,HELASLIM
53886,n011905605adidas男運動褲gm4439xl黑色,Other,None,Godson 高森
53919,n012556606nikefreern50nextnature男休閒鞋cz1884003us85灰,Other,None,
53936,mq安心購物愛康超透氣衛生棉超透氣衛生棉網路爆紅衛生棉護墊日用衛生棉夜用衛生棉加長超長衛生棉,Other,None,icon 愛康
53950,現貨馬上出平行輸入德國百靈braun電動刮鬍刀電鬍刀3020s3050cc3090cc5145s,Other,None,BRAUN
53956,洗髮餅材料包diylush同款洗髮餅shampoobars,Other,None,CARE+ 蓓膚美
53995,韓國medicubered修復遮瑕液23號55ml,Other,None,Mistine
54006,戀家小舖波力救援小英雄藍床包枕套組韓國可愛卡通磨毛多工法處理台灣製單人雙人加大蝦皮店到店免運費,Other,None,POLI 波力
54115,西西里佛手柑精油100ml分裝罐英國nd,Other,None,Jenduoste 珍朵絲特
54200,雲摩爾香菸藍,Other,None,COACH 蔻馳
54220,愛康抗菌衛生棉日用夜用護墊金興發,Other,None,Mdmmd.
54226,家樂氏早餐穀物脆片格格脆可可球玉米片可可片香果圈香蕉玉米片麥片九款任選蝦皮直送,Other,None,A Jiu Master Worker 阿久師
54242,carlschmidtsohn德國卡爾32l氣炸鍋gla320,Other,None,Carl Schmidt Sohn
54266,世界go現貨韓國klavuusignature舒緩珍珠護手霜50ml珍珠舒緩護手霜保濕護手霜克拉優,Other,None,JIGOTT
54314,ktbdlt202白電動牙刷,Other,None,
54372,蘭都scentdom蘭漾舒爽控油洗髮精組500ml2入,Other,None,WTB 昂賽芙
54455,日本北海道產特選七星米2kg,Other,None,zippo
54462,順億化工18野薑花精油10ml50ml適合調製各種diy產品,Other,None,學長的保濕工坊
54539,鴻嘉源正版原廠msg旗艦款靜音按摩槍台灣現貨無刷馬達超深層經絡沖擊迷你按摩槍肌肉放鬆按摩槍筋膜槍,Other,None,
54551,新春不打烊現貨效期新kattovit康特維德國貓咪處方罐低磷腎罐腎貓營養肉汁罐,Other,None,KATTOVIT
54607,耀哥商城現貨韓國coreana高麗雅娜精華安瓶護手霜50ml護手霜修復精華最新效期,Other,None,Coreana
54667,lemonsolo軟式硅藻土速乾吸水地墊1入lmv110長方深藍浪花,Other,None,
54706,10倍蝦幣免運費好奇濕巾奇奇與蒂蒂限定版小熊維尼純水嬰兒濕紙巾溼紙巾,Other,None,Graminton
54711,現貨不用等250顆d3400iuswanson維他命d非活性粉末膠囊,Other,None,FlexNow 關立固
54768,耀哥商城現貨日本第一石鹼作業服專用洗劑800g黑手專用工作服洗衣精油汙去黑油弱鹼性液態去污清潔,Other,None,DAIICHI 第一石鹼
54777,baradinec夾煞車皮蝶型煞車塊跑車公路車c煞c型450剎車塊2187510,Other,None,COACH 蔻馳
54912,bf灰藍色灰色微醺紅色寶石紅美甲凝膠光撩膠甲油膠byfunme彩色凝膠b47b25美甲材料nailsmall,Other,None,
54937,barwa森呼吸液體皂500ml清新棉花,Other,None,
54968,viki統一大補帖麻油雞風味105g碗當歸鴨風味102g碗碗麵泡麵消夜點心正餐麻油雞當歸鴨,Other,None,COACH 蔻馳
55035,10倍蝦幣有發票可退稅500元富及第12l省電型清淨除濕機有輪子濕度感測自動開啟fdh1233y,Other,None,COACH 蔻馳
55081,onecook17公升藍光玻璃快煮壺304不鏽鋼加熱盤煮沸自動斷電花茶壺泡茶機泡茶電水壺電茶壺快煮壺,Other,None,
55087,凱蒂娃娃單色腮紅11珊瑚粉6g,Other,None,
55115,atp近江兄弟潤唇膏買1送10u85,Other,None,COACH 蔻馳
55161,憶馨金饌健康機能犬罐80g罐狗罐頭機能犬罐元氣犬罐機能罐犬罐頭寵物罐頭餐罐金鐉,Other,None,IPET 艾沛
55186,innisfree我的小白瓶洗髮精330ml官方旗艦店悅詩風吟,Other,None,innisfree 悅詩風吟
55198,吊區博客蒜香黑胡椒雞胸肉中南,Other,None,野人舒食
55287,期間限定領券再折99官方正版授權品質絕對保證黃阿瑪喵在一起無線鍵盤滑鼠組zzz210304009,Other,None,COACH 蔻馳
55289,vap軍規防摔藍芽鍵盤四角強化觸控板ipadproipadair4代109吋,Other,None,VAP
55353,perioextrim牙刷,Other,None,
55431,大鐮刀風八8cmpwm智慧溫控靜音超薄型8公分高風量風扇小4pin,Other,None,
55476,除舊佈新荷蘭mepal圓形密封野餐盒500ml共6色保鮮盒餐盒點心盒屋外生活,Other,None,MEPAL
55478,bananastore多件優惠現貨萬毛牙刷波浪萬毛牙刷護齦牙刷萬根柔軟獨立包裝,Other,None,FUTURE LAB. 未來實驗室
55576,富郁床墊4d透氣嬰兒獨立筒彈簧床墊大人也可睡60x120x12cm70x130x12cm可訂做尺寸,Other,None,FAMO 法摩
55642,n011130122查理肥皂charliessoap洗衣粉100次12kg罐共1罐,Other,None,COACH 蔻馳
55675,tinggo機能性潔牙骨羊肉蔬菜lambvegetables36入袋,Other,None,Cat Knows 貓之道
55749,愛康抗菌衛生棉量少型19cm9片任2件5折,Other,None,icon 愛康
55750,icondom艾康頓保險套三效合一型超薄型螺紋型雙顆粒螺紋型光滑平面型大尺寸衛生套安全套避孕套,Other,None,Icondom 艾康頓
55784,slappleipadair109吋wifi256g灰myft2taa,Other,None,SWAS 獅皇
55786,旺旺生活naturesgift吉夫特全系列幼貓成長成貓護膚成貓亮毛貓飼料bh338,Other,None,8DOG'S 八犬
55802,新雲摩爾xs香菸紅,Other,None,Apple 蘋果
55867,美國triswim特詩韻運動游泳洗髮精251ml85ozsbr,Other,None,COACH 蔻馳
55868,和田順順道燉奶茶912ml,Other,None,Max Tea
55878,台灣現貨vinimay閃耀碎鑽膠百搭款蹦迪膠甲油膠台灣代理商公司貨中文標籤b106,Other,None,
55925,毛孩王美式優選topration海陸雙饗膠原補給全齡貓配方800g分裝包300g原包裝貓飼料貓糧,Other,None,CAT-POOL 貓侍
55949,lepichet髮職人奇異果蜂膠清爽柔順洗髮精500ml,Other,None,Le Pichet
56192,代收代付怡眾國際日本0正負零陶瓷電暖器咖啡紅白xhhy030,Other,None,正負零
56218,prokamping領航家41kwtank卡式爐二代升級版x4100ii附硬盒防風單口爐卡式爐露營瓦斯爐,Other,None,PRO KAMPING 領航家
56236,adermal面膜珍,Other,None,isLeaf 依絲莉
56258,barbasol刮鬍泡蘆薈10oz283g,Other,None,Barbasol
56329,姆倍力c3g亮潼精明小資組加贈5入盒晶亮葉黃素,Other,None,COACH 蔻馳
56379,旺旺生活韓國bydog汪洽普狗狗凍乾零食鱈魚鮭魚口味寵物零食寵物凍乾寵物零嘴狗零食,Other,None,8DOG'S 八犬
56385,coco威力貓powercat全齡貓飼料9kg鮪魚雞肉鮪魚蟹肉化毛配方綠茶除臭福壽fuso可參考,Other,None,COACH 蔻馳
56426,俏正美bb膠原錠禮盒,Other,None,Chocola BB 俏正美
56513,旺旺生活御天犬超值包台灣本產大包裝量販包寵物零食寵物肉乾狗零食犬零食肉片肉捲肉餅潔牙骨,Other,None,COACH 蔻馳
56586,愛康抗菌衛生棉護墊155cm20片,Other,None,icon 愛康
56608,日本mentholatum濃厚高保濕護手霜70g,Other,None,MENTHOLATUM 曼秀雷敦
56625,法瑪仕t果萃代謝調理水190ml,Other,None,IMAGE SKINCARE
56666,koni小型簡約電磁爐加熱快煮茶器電熱爐,Other,None,COACH 蔻馳
56720,母傳原味優格,Other,None,TOMA-PRO 優格
56761,n011601412polar普樂08l不鏽鋼快煮壺藍pl1739,Other,None,TAIGA 大河
56769,equalnelly尼力dusa亮澤保濕精油洗髮精2000ml四款任選甜麝香清涼神秘琥珀罌粟花檸檬薑,Other,None,COACH 蔻馳
56779,好厝邊德國sebamed施巴潔面皂潔顏皂洗面皂ph55溫和橄欖肥皂150g14934,Other,None,sebamed 施巴
56810,好厝邊韓國coreana高麗雅娜極保濕安瓶精華護手霜50ml清新花香,Other,None,Coreana
56874,代收代付韓國median93強效淨白去垢牙膏120g4款可選小三美日升級版,Other,None,MEDIAN
56904,韓國abby雙頭眼影刷,Other,None,FVIIE
56920,香檸蜜柚冷萃咖啡20220205b8kib248,Other,None,COFFEST 大隱珈琲
56927,噶瑪蘭ginsoda烏龍蘇打調酒,Other,None,COACH 蔻馳
56948,美安獨家卡通硅藻泥軟地墊3入,Other,None,
56984,acana愛肯拿挑嘴幼犬雞肉蔬果幼犬飼料成犬飼料高齡犬飼料犬用飼料寵物飼料狗狗飼料狗飼料犬糧,Other,None,ACANA
57003,多用途露營中毒本鋪campingmoon柯曼不鏽鋼圍爐桌含中間三塊桌板,Other,None,
57029,topration美式優選topration美式優選犬用低敏火雞肉羊肉良好體態配方25kg寵物狗飼料,Other,None,Hartz 赫緻
57050,0250125汪jd佐登龍血護手霜30ml條1條詳細內容如商品描述,Other,None,COACH 蔻馳
57058,2021最新日本kracie葵緹亞lamellance高保濕沐浴露480ml另有補充包360ml滋潤,Other,None,Kracie 葵緹亞
57211,juliart覺亞深層抗屑胺基酸洗髮精洗髮精容量1000ml瓶專櫃貨角質淨化液控油希沛絲養髮止癢,Other,None,ITELY
57275,蝦皮優惠精選原萃綠茶玉露錫蘭紅茶日式綠茶烏龍茶文山包種鐵觀音日式焙茶無糖無香料,Other,None,原萃
57352,台灣現貨電子發票日光生活x340神奇去污洗衣球五入實心洗衣球去污洗衣球多彩洗衣球防纏繞,Other,None,
57360,nov娜芙防曬隔離霜spf35pa30g日本原裝中文標公司貨去除盒外批號,Other,None,NOV 娜芙
57392,drrin耐熱三格玻璃保鮮盒105l長型22x149x64cmk1050,Other,None,Lock&Lock 樂扣樂扣
57430,biogaia益生菌出生即可用歐美藥局直供,Other,None,BioGaia
57481,萬倍富2館mrbone無穀多效潔牙骨雙刷頭造型袋裝95g360g草莓蔓越莓牛奶鈣綠茶薄荷蜂,Other,None,WE'RE ABLE 薇爾艾伯
57494,oatly最好喝的燕麥奶咖啡師巧克力原味蝦皮直送現貨,Other,None,OATLY 歐特力
57544,蒂芬妮亞淨透肌超綿感洗面乳100g,Other,None,COBELAND 蔻柏蘭
57564,美國進口coast海洋清新沐浴露532ml,Other,None,Coast
57627,wewe小舖現貨e發票日本itoh井藤膠原蛋白玻尿酸粉鐵葉酸30包入,Other,None,COACH 蔻馳
57647,caliphil床包被組,Other,None,Caliphil 佳麗惠
57684,enblanc韓國極柔純水厚濕紙巾團購價現貨韓國人氣第一品牌台灣總代理公司正品正式報關進口商品檢驗合格,Other,None,enblanc
57702,海霸王沙茶醬,Other,None,IKARI
57807,現貨日本原裝正品kintodayofftumbler超輕量保冷保溫手提保溫瓶500ml,Other,None,KINTO
57813,活力日膳貓罐雞肉415gvd1001,Other,None,SEEDS 惜時
57847,hiimice哈囉麥斯ai智慧語音無線滑鼠紳士灰,Other,None,hii 愛游
57871,幫寶適新款升級五星一級幫日本境內增量版紙尿褲褲型mxlx3包箱廠商直送,Other,None,Pampers 幫寶適
57910,力韋厚磅銀星寶石紅包袋20入紅麒麟,Other,None,COACH 蔻馳
57961,misyaber持色珠光水潤唇膏豆沙色口紅亮粉珠光持色持久滋潤口紅不掉色口紅不沾杯口紅裸色蜜絲雅柏,Other,None,CARSLAN 卡姿蘭
57978,vic美眉防水眼眉兩用筆no517韓系黑色兩入超值組,Other,None,
57997,ayllonadidas男版手臂三線文字款深藍色短tee現貨,Other,None,Adidas 愛迪達
58018,110007306bl6asusfx516pm0201a11370h2k御鐵灰無包,Other,None,
58093,香料保鮮專用旋轉保鮮盒真空款3種尺寸可選ankomn台灣製造真空專利技術a282,Other,None,ANKOMN
58105,ishock風雲快手鍵盤滑鼠組,Other,None,KINYO
58171,美國寢之堡極細纖維組合包床包枕套2入送寢具專用洗衣袋,Other,None,PROTECT-A-BED 寢之堡
58182,愛康超透氣衛生棉日用型4,Other,None,icon 愛康
58235,心樸鮮乳946ml,Other,None,正心堂
58359,無微醺森林釋迦酒,Other,None,Pink Lady
58399,藤澤減鹽12鰹魚薄片40g鰹魚薄片50g貓零食,Other,None,藤澤
58478,nexx芮斯維他命c1000發泡錠20錠杏桃口味原廠公司貨唯康藥局,Other,None,SUN VENUS
58499,canmake肌秘美顏蜜粉餅官方直營美滿堂beautyfull,Other,None,CANMAKE
58512,金龍希少糖壽喜燒醬夢210ml,Other,None,
58537,innisfree洗面乳系列100ml150ml蝦皮直送現貨,Other,None,HODRMEN 男研堂
58592,岱思夢法蘭絨兩用毯被套雙人6x7尺法萊絨毯子被單被套毛毯超取有出貨限制詳請參閱內容說明,Other,None,DESMOND 岱思夢
58609,家順適成人紙尿褲超值經濟型m號18片x6包箱整箱共108片箱購成褲可搭配成人紙尿片,Other,None,nepia
58696,kaoken日本顏研勻透亮奇蹟防曬乳霜spf50pa40g,Other,None,KAOKEN 顏研
58721,現貨免運德國北方智慧型負離子直立式陶瓷電暖器ptc868trb同ptc868trd,Other,None,
58759,限時特價k3數位二手平板ipadmini4mini5apple台版ncc保固90天,Other,None,kolin 歌林
58805,現貨可水洗hepa濾芯適奇美吸塵器vcsa1ph0附紗網,Other,None,Yera 怡悅
58821,改版新品現貨399韓國lakajustcheek單色腮紅最夯熱賣色mars,Other,None,
58885,swhkhaken增色洗髮精300ml補色增色護色灰色紫色藍色綠色,Other,None,HAKEN
58937,ho馬油保濕沐浴乳600ml,Other,None,C.O. BIGELOW
58983,媽媽咪呀手推式免插電掃地機美型鏡面款典雅白,Other,None,1Zpresso
58996,圓石禪飲teabar琥珀拿鐵,Other,None,正官庄
59014,土耳其eyuptuncersabri七合一玫瑰水350ml,Other,None,MANETTI H. ROBERTS
59058,巴哈barhar牆角橋梁繩索保護器不銹鋼bs107,Other,None,
59089,barbie兒童牙線棒36入袋裝,Other,None,Barbie 芭比
59156,台灣24h出貨cls復古露營燈led露營燈鐵道燈吊燈復古露營美學led燈barebones可參考,Other,None,
