,product
207,濕紙巾
208,速食麵/泡麵
209,指甲油
210,保溫杯
211,眼影刷/棒
212,微波爐
213,洗面乳
214,RTD調酒
215,其他地墊(家用)
216,鍋具
217,電子鍋
218,護唇膏
219,沐浴乳
220,即溶咖啡
221,衛生紙
222,保險套
223,即溶咖啡
224,精華液
225,腮紅
226,洗面乳
227,眉筆
228,掃地機
229,洗髮精
230,菸
231,唇膏
232,洗面乳
233,礦泉水
234,兒童漱口水
235,眼影盤
236,沐浴乳
237,護髮乳
238,優格
239,眼影盤
240,電風扇
241,濕紙巾
242,洗面乳
243,睫毛膏
244,眉筆
245,其他地墊(家用)
246,洗衣精
247,洗衣球
248,成人牙膏
249,洗衣精
250,鮮乳
251,鍋具
252,濕紙巾
253,蜜粉
254,成人奶粉
255,礦泉水
256,即飲無糖茶
257,即飲無糖茶
258,貓乾糧罐頭
259,啤酒
260,洗面乳
261,豆奶/豆乳
262,唇釉
263,即溶咖啡
264,運動/機能服
265,面膜
266,濕紙巾
267,護髮乳
268,即溶咖啡
269,維他命飲料
270,洗衣皂
271,成人牙膏
272,保溫杯
273,潤髮乳
274,吹風機
275,身體乳液
276,運動/機能服
277,沐浴乳
278,眼影筆
279,護髮乳
280,即溶咖啡
281,粉底液
282,運動/機能服
283,即溶咖啡
284,速食麵/泡麵
285,運動鞋
286,洗衣精
287,運動鞋
288,化妝水
289,成人牙刷
290,啤酒
291,運動鞋
292,成人牙膏
293,防曬
294,洗髮精
295,即食雞胸
296,維他命B
297,貓乾糧罐頭
298,洗面乳
299,洗髮精
300,化妝水
301,睫毛膏
302,洗髮精
303,葉黃素
304,成人牙膏
305,精華液
306,即飲紅茶
307,運動鞋
308,身體乳液
309,鮮乳
310,運動/機能服
311,遮瑕盤
312,維他命B
313,狗乾糧罐頭
314,洗髮精(嬰幼童/孕婦)
315,成人奶粉
316,濾掛/耳掛咖啡
317,護髮乳
318,維他命E
319,啤酒
320,即溶咖啡
321,貓乾糧罐頭
322,衛生棉
323,眼影盤
324,成人牙刷
325,洗髮精
326,面霜/乳霜
327,洗面乳
328,成人牙刷
329,洗髮精
330,成人牙膏
331,烘碗機
332,香氛蠟燭
333,膠原蛋白
334,啤酒
335,成人牙膏
336,護手霜
337,濕紙巾
338,妝前乳/隔離霜
339,沐浴乳
340,啤酒
341,妝前乳/隔離霜
342,面膜
343,維他命B
344,濕紙巾
345,面霜/乳霜
346,粉底液
347,運動鞋
348,粉餅
349,鮮乳
350,鍵盤
351,粉底液
352,精油
353,護髮乳
354,咖啡豆
355,即溶咖啡
356,護唇膏
357,防曬
358,葉黃素
359,保久乳
360,眉筆
361,衛生紙
362,鍵盤
363,滑鼠
364,運動/機能服
365,雞精
366,除濕機
367,濾掛/耳掛咖啡
368,菸
369,洗衣皂
370,護手霜
371,眼唇卸妝
372,氣泡水
373,運動/機能服
374,妝前乳/隔離霜
375,濕紙巾
376,杏仁奶
377,兒童牙膏
378,面霜/乳霜
379,葉黃素
380,防曬
381,潤髮乳
382,面膜
383,快煮壺
384,奶瓶
385,沐浴乳
386,保險套
387,洗衣球
388,啤酒
389,洗髮精
390,運動鞋
391,速食麵/泡麵
392,跑步機
393,成人牙刷
394,保險套
395,衛生紙
396,菸
397,成人牙刷
398,成人牙膏
399,眼線液筆
400,快煮壺
401,中式香腸
402,優格
403,洗髮精
404,微波爐
405,鮮乳
406,身體乳液
407,洗髮精
408,沐浴乳
409,運動/機能服
410,貓乾糧罐頭
411,衛生紙
412,速食麵/泡麵
413,電子鍋
414,速食麵/泡麵
415,人工淚液
416,碳酸飲料
417,洗衣球
418,狗乾糧罐頭
419,即飲紅茶
420,烘碗機
421,即飲奶茶
422,成人牙膏
423,沐浴乳
424,維他命B
425,遮瑕筆
426,即飲綠茶
427,碳酸飲料
428,鍵盤
429,衛生棉
430,洗髮精
431,維他命B
432,成人牙刷
433,臉部乳液
434,貓乾糧罐頭
435,維他命B
436,護手霜
437,掃地機
438,護髮乳
439,成人牙膏
440,面膜
441,益生菌
442,卸妝棉
443,保溫杯
444,洗面乳
445,洗面乳
446,維他命C
447,洗面乳
448,常溫醬包
449,護唇膏
450,貓乾糧罐頭
451,保久乳
452,鍋具
453,熱水器
454,RTD調酒
455,眼線膠筆
456,成人紙尿褲
457,速食麵/泡麵
458,濕紙巾
459,杏仁奶
460,啤酒
461,常溫醬包
462,RTD調酒
463,葉黃素
464,指甲油
465,護髮乳
466,貓零食
467,貓零食
468,智慧型手機
469,面膜
470,狗乾糧罐頭
471,速食麵/泡麵
472,鮮乳
473,粉餅
474,維他命B
475,鍋具
476,唇膏
477,椰奶
478,洗髮精
479,鍋具
480,微波爐
481,洗髮精
482,速食麵/泡麵
483,智慧型手機
484,護唇膏
485,兒童牙刷
486,護唇膏
487,沐浴乳
488,成人牙膏
489,粉餅
490,其他地墊(家用)
491,擴香瓶
492,臉部乳液
493,洗面乳
494,運動鞋
495,洗衣皂
496,快煮壺
497,面膜
498,消毒鍋
499,即飲奶茶
500,維他命飲料
501,面膜
502,啤酒
503,面膜
504,精華液
505,洗衣精
506,優格
507,成人牙刷
508,電視遊戲機
509,菸
510,精華液
511,即飲奶茶
512,啤酒
513,洗衣皂
514,淨水器/濾水器
515,益生菌
516,優酪乳
517,鮮乳
518,電鍋
519,成人牙刷
520,即飲咖啡
521,貓乾糧罐頭
522,貓乾糧罐頭
523,狗乾糧罐頭
524,成人牙膏
525,菸
526,電暖器
527,除濕機
528,礦泉水
529,貓乾糧罐頭
530,成人牙膏
531,粉餅
532,豆漿/黑豆漿
533,礦泉水
534,洗衣精
535,即飲奶茶
536,妝前乳/隔離霜
537,速食麵/泡麵
538,洗面乳
539,運動/機能服
540,面霜/乳霜
541,成人紙尿褲
542,速食麵/泡麵
543,洗面乳
544,菸
545,狗乾糧罐頭
546,常溫醬包
547,優格
548,眼部精華
549,洗髮精
550,濕紙巾
551,醬油類
552,鍋具
553,麥片穀類
554,修容
555,優格
556,桌上電腦
557,RTD調酒
558,洗面乳
559,睡袋
560,眼影盤
561,護唇膏
562,啤酒
563,成人牙刷
564,智慧型手機
565,鍋具
566,護唇膏
567,洗髮精
568,除濕機
569,指甲油
570,貓乾糧罐頭
571,電子鍋
572,即飲奶茶
573,成人牙膏
574,洗衣精
575,運動/機能服
576,速食麵/泡麵
577,貓乾糧罐頭
578,優格
579,潤髮乳
580,洗衣精
581,洗面乳
582,鍋具
583,濕紙巾
584,潤髮乳
585,貓零食
586,沐浴乳
587,吸塵器
588,火鍋料
589,保溫杯
590,防曬
591,洗面乳
592,卸妝棉
593,護唇膏
594,遮瑕蜜
595,唇膏
596,防曬
597,即食雞胸
598,即飲咖啡
599,兒童牙刷
600,擴香瓶
601,護唇膏
602,菸
603,柔軟精
604,滑鼠
605,洗髮精
606,洗衣精
607,啤酒
608,菸
609,珪藻土地墊
610,維他命飲料
611,礦泉水
612,運動鞋
613,卸妝水
614,珪藻土地墊
615,濕紙巾
616,礦泉水
617,運動鞋
618,眼影盤
619,護髮乳
620,蜜粉
621,沐浴乳
622,妝前乳/隔離霜
623,護髮乳
624,衛生棉
625,成人牙膏
626,啤酒
627,運動/機能服
628,運動鞋
629,粉底液
630,礦泉水
631,掃地機
632,狗乾糧罐頭
633,滴雞精
634,粉底液
635,微波爐
636,蜜粉
637,即溶咖啡
638,眼線液筆
639,洗衣精
640,滴雞精
641,平板電腦
642,指甲油
643,微波爐
644,腮紅
645,洗面乳
646,眼線筆
647,運動/機能服
648,菸
649,面膜
650,優格
651,智慧型手機
652,燕麥奶
653,腮紅
654,柔軟精
655,滑鼠
656,粉餅
657,洗髮精
658,益生菌
659,其他地墊(家用)
660,快煮麵/乾拌麵
661,成人牙刷
662,鮮乳
663,啤酒
664,狗乾糧罐頭
665,狗乾糧罐頭
666,擴香瓶
667,運動鞋
668,兒童牙刷
669,啤酒
670,精油
671,BB霜
672,保險套
673,即飲咖啡
674,薑黃
675,鍋具
676,棉褲/安睡褲
677,沐浴乳
678,修容
679,衛生紙
680,速食麵/泡麵
681,維他命飲料
682,眼霜
683,保久乳
684,眼線膠筆
685,成人牙刷
686,運動鞋
687,洗髮精
688,眼線筆
689,睡袋
690,衛生紙
691,運動鞋
692,常溫醬包
693,洗衣球
694,速食麵/泡麵
695,電熱水瓶
696,滑鼠
697,眼影盤
698,快煮壺
699,人工淚液
700,精華液
701,保溫杯
702,洗髮精
703,洗髮精
704,臉部乳液
705,礦泉水
706,鍋具
707,遮瑕膏
708,精華液
709,眼影盤
710,粉餅
711,成人牙刷
712,眼霜
713,防曬
714,洗衣精
715,米漿/豆米漿
716,益生菌
717,成人牙膏
718,濕紙巾
719,筆記型電腦
720,智慧型手機
721,常溫醬包
722,面膜
723,貓乾糧罐頭
724,護髮乳
725,濾掛/耳掛咖啡
726,維他命C
727,化妝水
728,甲片/甲貼
729,沐浴乳
730,指甲油
731,即飲紅茶
732,除濕機
733,粉餅
734,遮瑕筆
735,洗衣精
736,沐浴乳
737,洗衣精
738,眉筆
739,菸
740,滑鼠
741,洗髮精(嬰幼童/孕婦)
742,面膜
743,醬油類
744,運動鞋
745,唇釉
746,貓乾糧罐頭
747,米漿/豆米漿
748,智慧型手機
749,RTD調酒
750,衛生紙
751,濕紙巾
752,洗髮精
753,洗髮精(嬰幼童/孕婦)
754,洗面乳
755,優格
756,快煮麵/乾拌麵
757,運動鞋
758,洗衣精
759,粉餅
760,眼影盤
761,蜜粉
762,洗面乳
763,運動鞋
764,妝前乳/隔離霜
765,卸妝乳
766,護唇膏
767,滑鼠
768,洗髮精
769,洗髮精
770,電視遊戲機
771,保溫杯
772,氣泡水
773,唇釉
774,速食麵/泡麵
775,沐浴乳
776,卸妝乳
777,狗乾糧罐頭
778,麥片穀類
779,濕紙巾
780,碳酸飲料
781,吹風機
782,臉部乳液
783,狗零食
784,濕紙巾
785,濕紙巾
786,護髮乳
787,蜜粉
788,收納櫃
789,柔軟精
790,擴香瓶
791,香氛蠟燭
792,衛生紙
793,咖啡豆
794,成人牙刷
795,淨水器/濾水器
796,沐浴乳
797,卸妝水
798,貓零食
799,衛生紙
800,衛生棉
801,沐浴乳
802,啤酒
803,洗髮精
804,電暖器
805,葉黃素
806,啤酒
807,洗髮精
808,成人牙膏
809,香氛蠟燭
810,桌上電腦
811,氣泡水
812,面膜
813,洗面乳
814,洗衣機
815,電視遊戲機
816,狗乾糧罐頭
817,維他命B
818,兒童牙刷
819,洗面乳
820,睫毛膏
821,葉黃素
822,洗髮精
823,廚房紙巾
824,眉粉
825,速食麵/泡麵
826,狗乾糧罐頭
827,洗面乳
828,吸塵器
829,精華液
830,滑鼠
831,衛生紙
832,運動/機能服
833,淨水器/濾水器
834,電暖器
835,掃地機
836,成人牙刷
837,菸
838,速食麵/泡麵
839,粉底液
840,即飲咖啡
841,濕紙巾
842,指甲油
843,護唇膏
844,防曬
845,吸塵器
846,沐浴乳
847,醬油類
848,眼影蜜
849,面膜
850,沐浴乳
851,狗乾糧罐頭
852,面膜
853,智慧型手機
854,氣泡水
855,護髮乳
856,葉黃素
857,鮮乳
858,狗零食
859,維他命B
860,潤髮乳
861,面膜
862,保險套
863,衛生紙
864,狗乾糧罐頭
865,洗面乳
866,甲油膠
867,啤酒
868,即食雞胸
869,維他命D
870,菸
871,維他命D
872,成人牙膏
873,成人牙刷
874,眉筆
875,濕紙巾
876,保溫杯
877,眼線液
878,洗面乳
879,優酪乳
880,身體乳液
881,保溫杯
882,粉餅
883,運動鞋
884,運動鞋
885,潤髮乳
886,狗乾糧罐頭
887,護手霜
888,洗面乳
889,睫毛膏
890,化妝水
891,沐浴乳
892,香氛蠟燭
893,運動鞋
894,沐浴乳
895,衛生紙
896,棉褲/安睡褲
897,速食麵/泡麵
898,洗髮精
899,菸
900,卸妝乳
901,成人牙刷
902,粉底液
903,烤箱
904,護唇膏
905,除濕機
906,濾掛/耳掛咖啡
907,豆漿/黑豆漿
908,洗髮精
909,膠原蛋白
910,眼唇卸妝
911,洗衣精
912,棉褲/安睡褲
913,氣炸鍋
914,防曬
915,洗衣球
916,洗衣精
917,護髮乳
918,唇膏
919,麥片穀類
920,面膜
921,狗乾糧罐頭
922,柔軟精
923,成人牙刷
924,洗髮精
925,眼線膠筆
926,醬油類
927,成人奶粉
928,洗面乳
929,鮮乳
930,面霜/乳霜
931,貓零食
932,護手霜
933,衛生紙
934,護髮乳
935,護髮乳
936,吸塵器
937,防曬
938,柔軟精
939,電子鍋
940,洗面乳
941,咖啡豆
942,運動鞋
943,洗衣球
944,速食麵/泡麵
945,眉筆
946,濕紙巾
947,人工淚液
948,眉筆
949,眼影刷/棒
950,鍋具
951,麥片穀類
952,按摩椅
953,運動/機能服
954,湯圓
955,護髮乳
956,即飲紅茶
957,卸妝乳
958,鍋具
959,洗面乳
960,成人牙膏
961,湯圓
962,維他命B+C
963,蜜粉
964,成人奶粉
965,洗面乳
966,鍋具
967,染眉膏
968,護髮乳
969,洗髮精
970,防曬
971,面膜
972,眼部精華
973,染眉膏
974,豆奶/豆乳
975,麥片穀類
976,濕紙巾
977,菸
978,氣泡水
979,電熱水瓶
980,氣泡水
981,即飲烏龍茶
982,洗面乳
983,面膜
984,菸
985,唇膏
986,電視遊戲機
987,柔軟精
988,麥片穀類
989,鍋具
990,常溫醬包
991,洗面乳
992,洗面乳
993,貓乾糧罐頭
994,護髮乳
995,腮紅
996,常溫醬包
997,護手霜
998,衛生紙
999,指甲油
1000,護髮乳
1001,常溫醬包
1002,菸
1003,運動/機能服
1004,衛生棉
1005,卸妝棉
1006,洗髮精(嬰幼童/孕婦)
1007,面膜
1008,速食麵/泡麵
1009,遮瑕膏
1010,洗髮精(嬰幼童/孕婦)
1011,即飲無糖茶
1012,護唇膏
1013,優酪乳
1014,平板電腦
1015,護手霜
1016,電熱水瓶
1017,腮紅
1018,醬油類
1019,洗衣機
1020,粉餅
1021,益生菌
1022,運動鞋
1023,唇膏
1024,鍋具
1025,即飲綠茶
1026,調理機
1027,指甲油
1028,貓乾糧罐頭
1029,電熱水瓶
1030,碳酸飲料
1031,面膜
1032,洗髮精
1033,速食麵/泡麵
1034,護唇膏
1035,即飲綠茶
1036,精華液
1037,護髮乳
1038,即飲奶茶
1039,洗髮精(嬰幼童/孕婦)
1040,沐浴乳
1041,唇釉
1042,洗面乳
1043,護髮乳
1044,維他命B
1045,指甲油
1046,洗面乳
1047,化妝水
1048,嬰幼手推車
1049,掃地機
1050,洗面乳
1051,即飲無糖茶
1052,濾掛/耳掛咖啡
1053,洗面乳
1054,臉部乳液
1055,狗乾糧罐頭
1056,鮮乳
1057,微波爐
1058,妝前乳/隔離霜
1059,掃地機
1060,卸甲液
1061,護髮乳
1062,貓乾糧罐頭
1063,電暖器
1064,洗髮精
1065,氣泡水
1066,衛生棉
1067,卸妝濕巾
1068,運動鞋
1069,運動/機能服
1070,RTD調酒
1071,蜜粉
1072,沐浴乳
1073,鍋具
1074,優格
1075,唇膏
1076,成人牙刷
1077,洗髮精
1078,湯圓
1079,眼線液
1080,眼影打底
1081,運動/機能服
1082,面膜
1083,沐浴乳
1084,運動鞋
1085,速食麵/泡麵
1086,中式香腸
1087,指甲油
1088,成人牙膏
1089,貓乾糧罐頭
1090,DD霜
1091,唇膏
1092,運動鞋
1093,護唇膏
1094,狗乾糧罐頭
1095,吹風機
1096,妝前乳/隔離霜
1097,貓乾糧罐頭
1098,礦泉水
1099,掃地機
1100,護髮乳
1101,貓乾糧罐頭
1102,鍋具
1103,洗髮精
1104,啞鈴/槓鈴
1105,調味牛乳
1106,沐浴乳
1107,豆奶/豆乳
1108,燕麥奶
1109,優酪乳
1110,豆奶/豆乳
1111,唇膏
1112,電視遊戲機
1113,維他命D
1114,烘碗機
1115,洗髮精
1116,狗零食
1117,面膜
1118,洗面乳
1119,眉粉
1120,保溫杯
1121,護髮乳
1122,洗衣精
1123,狗乾糧罐頭
1124,芳香豆
1125,精華液
1126,燕麥奶
1127,除濕機
1128,運動鞋
1129,濕紙巾
1130,化妝水
1131,鍋具
1132,精華液
1133,豆漿/黑豆漿
1134,洗髮精
1135,眼影蜜
1136,速食麵/泡麵
1137,洗衣粉
1138,電視遊戲機
1139,速食麵/泡麵
1140,洗面乳
1141,中式香腸
1142,洗髮精
1143,電暖器
1144,防曬
1145,狗乾糧罐頭
1146,唇膏
1147,RTD調酒
1148,洗衣粉
1149,筆記型電腦
1150,速食麵/泡麵
1151,狗乾糧罐頭
1152,濾掛/耳掛咖啡
1153,運動鞋
1154,面膜
1155,濕紙巾
1156,RTD調酒
1157,葉酸
1158,運動/機能服
1159,其他地墊(家用)
1160,麥片穀類
1161,濕紙巾
1162,碳酸飲料
1163,狗零食
1164,維他命C
1165,電磁爐
1166,衛生紙
1167,眼唇卸妝
1168,兒童牙膏
1169,洗面乳
1170,礦泉水
1171,貓乾糧罐頭
1172,眼霜
1173,眉筆
1174,維他命D
1175,唇膏
1176,洗髮精
1177,即飲咖啡
1178,粉底液
1179,常溫醬包
1180,保險套
1181,沐浴乳
1182,即飲紅茶
1183,運動/機能服
1184,衛生紙
1185,鍋具
1186,維他命D
1187,維他命飲料
1188,眼線液
1189,唇膏
1190,粉餅
1191,啤酒
1192,筆記型電腦
1193,貓乾糧罐頭
1194,衛生紙
1195,啞鈴/槓鈴
1196,維他命D
1197,濾掛/耳掛咖啡
1198,即食雞胸
1199,精油
1200,BB霜
1201,粉餅
1202,洗衣皂
1203,成人牙刷
1204,瓦斯爐(攜帶式)
1205,眼影刷/棒
1206,化妝水
1207,成人牙膏
1208,卸妝乳
1209,沐浴乳
1210,運動/機能服
1211,兒童牙刷
1212,唇膏
1213,豆漿/黑豆漿
1214,粉底液
1215,濾掛/耳掛咖啡
1216,唇釉
1217,智慧型手機
1218,維他命C
1219,速食麵/泡麵
1220,睫毛膏
1221,貓乾糧罐頭
1222,洗面乳
1223,維他命飲料
1224,維他命B
1225,眼線液
1226,洗面乳
1227,速食麵/泡麵
1228,速食麵/泡麵
1229,即飲紅茶
1230,貓乾糧罐頭
1231,護手霜
1232,洗面乳
1233,菸
1234,成人牙刷
1235,化妝水
1236,淨水器/濾水器
1237,運動鞋
1238,護唇膏
1239,貓乾糧罐頭
1240,濕紙巾
1241,眉粉
1242,維他命飲料
1243,妝前乳/隔離霜
1244,洗面乳
1245,洗髮精
1246,面霜/乳霜
1247,礦泉水
1248,護髮乳
1249,快煮壺
1250,精油
1251,沐浴乳
1252,成人牙刷
1253,貓乾糧罐頭
1254,電子鍋
1255,電暖器
1256,電暖器
1257,智慧型手機
1258,衛生紙
1259,除濕機
1260,快煮麵/乾拌麵
1261,成人紙尿褲
1262,啤酒
1263,速食麵/泡麵
1264,RTD調酒
1265,礦泉水
1266,沐浴乳
1267,速食麵/泡麵
1268,鍋具
1269,智慧型手機
1270,護唇膏
1271,葉黃素
1272,護手霜
1273,濕紙巾
1274,礦泉水
1275,面膜
1276,湯圓
1277,電鍋
1278,蜜粉
1279,醬油類
1280,眼影盤
1281,熱水器
1282,醬油類
1283,優酪乳
1284,即溶咖啡
1285,即飲無糖茶
1286,洗髮精
1287,RTD調酒
1288,護髮乳
1289,指甲油
1290,蜜粉
1291,氣炸鍋
1292,睫毛膏
1293,卸妝棉
1294,成人牙膏
1295,妝前乳/隔離霜
1296,葉黃素
1297,遮瑕膏
1298,礦泉水
1299,貓乾糧罐頭
1300,洗衣球
1301,收納櫃
1302,滑鼠
1303,洗面乳
1304,沐浴乳
1305,人工淚液
1306,鍵盤
1307,兒童牙膏
1308,面膜
1309,貓乾糧罐頭
1310,電暖器
1311,運動鞋
1312,礦泉水
1313,兒童牙膏
1314,眉筆
1315,洗衣球
1316,碳酸飲料
1317,鍋具
1318,人工淚液
1319,平板電腦
1320,RTD調酒
1321,即飲紅茶
1322,洗面乳
1323,菸
1324,運動/機能服
1325,棉褲/安睡褲
1326,菸
1327,運動/機能服
1328,蜜粉
1329,狗乾糧罐頭
1330,啤酒
1331,芳香豆
1332,洗面乳
1333,西式香腸
1334,啤酒
1335,沐浴乳
1336,濕紙巾
1337,洗面乳
1338,運動鞋
1339,臉部乳液
1340,貓乾糧罐頭
1341,調味牛乳
1342,吸塵器
1343,貓零食
1344,粉底液
1345,醬油類
1346,貓零食
1347,收納櫃
1348,護唇膏
1349,柔軟精
1350,奶瓶
1351,烤箱
1352,電熱水瓶
1353,精華液
1354,化妝水
1355,熱水器
1356,成人牙刷
1357,兒童牙刷
1358,洗髮精
1359,速食麵/泡麵
1360,運動鞋
1361,成人牙刷
1362,衛生紙
1363,媽媽茶(哺乳茶)
1364,腮紅
1365,洗面乳
1366,貓乾糧罐頭
1367,速食麵/泡麵
1368,啤酒
1369,菸
1370,面霜/乳霜
1371,沐浴乳
1372,眼影盤
1373,鍋具
1374,電風扇
1375,常溫醬包
1376,沐浴乳
1377,護髮乳
1378,貓乾糧罐頭
1379,即飲咖啡
1380,洗髮精
1381,香氛蠟燭
1382,兒童漱口水
1383,臉部乳液
1384,護髮乳
1385,優格
1386,眼影刷/棒
1387,貓乾糧罐頭
1388,眼影筆
1389,遮瑕蜜
1390,兒童牙刷
1391,沐浴乳
1392,洗髮精
1393,精華液
1394,保溫杯
1395,常溫醬包
1396,面霜/乳霜
1397,菸
1398,洗衣精
1399,礦泉水
1400,濕紙巾
1401,護唇膏
1402,蜜粉
1403,鮮乳
1404,鍋具
1405,面霜/乳霜
1406,護手霜
1407,貓乾糧罐頭
1408,成人牙膏
1409,身體乳液
1410,洗髮精
1411,洗衣精
1412,熱水器
1413,運動/機能服
1414,筆記型電腦
1415,淨水器/濾水器
1416,鮮乳
1417,運動鞋
1418,常溫醬包
1419,其他地墊(家用)
1420,指甲油
1421,成人牙刷
1422,沐浴乳
1423,洗髮精
1424,成人牙膏
1425,速食麵/泡麵
1426,礦泉水
1427,卸妝棉
1428,眼線膠筆
1429,衛生紙
1430,貓乾糧罐頭
1431,遮瑕筆
1432,鍋具
1433,貓乾糧罐頭
1434,護手霜
1435,臉部乳液
1436,菸
1437,面膜
1438,指甲油
1439,速食麵/泡麵
1440,鍋具
1441,滑鼠
1442,指甲油
1443,保溫杯
1444,優酪乳
1445,貓零食
1446,調味牛乳
1447,沐浴乳
1448,甲片/甲貼
1449,護髮乳
1450,鍋具
1451,成人牙膏
1452,指甲油
1453,碳酸飲料
1454,運動鞋
1455,防曬
1456,啤酒
1457,指甲油
1458,即飲奶茶
1459,護髮乳
1460,成人牙膏
1461,護唇膏
1462,面膜
1463,成人奶粉
1464,調味牛乳
1465,面膜
1466,面霜/乳霜
1467,洗衣精
1468,睫毛膏
1469,沐浴乳
1470,洗髮精
1471,洗髮精
1472,唇釉
1473,濾掛/耳掛咖啡
1474,智慧錶
1475,沐浴乳
1476,洗髮精
1477,面霜/乳霜
1478,眼唇卸妝
1479,吸塵器
1480,速食麵/泡麵
1481,柔軟精
1482,火鍋料
1483,指甲油
1484,洗衣精
1485,成人牙膏
1486,成人牙刷
1487,維他命B
1488,成人牙刷
1489,CC霜
1490,洗衣粉
1491,淨水器/濾水器
1492,護髮乳
1493,兒童牙刷
1494,氣泡水
1495,潤髮乳
1496,貓零食
1497,麥片穀類
1498,唇蜜
1499,面霜/乳霜
1500,防曬
1501,廚房紙巾
1502,瑜珈墊
1503,成人紙尿褲
1504,兒童牙膏
1505,貓乾糧罐頭
1506,洗髮精
1507,卸妝油
1508,維他命C
1509,濕紙巾
1510,面膜
1511,杏仁奶
1512,優格
1513,粉餅
1514,運動/機能服
1515,狗乾糧罐頭
1516,洗衣精
1517,即飲綠茶
1518,葉黃素
1519,眼線液
1520,羊乳
1521,葉黃素
1522,濕紙巾
1523,快煮麵/乾拌麵
1524,吹風機
1525,洗髮精
1526,鍋具
1527,啤酒
1528,電熱水瓶
1529,奶瓶
1530,BB霜
1531,成人奶粉
1532,氣泡水
1533,吸塵器
1534,跑步機
1535,擴香瓶
1536,洗面乳
1537,成人牙刷
1538,面膜
1539,即飲無糖茶
1540,防曬
1541,快煮壺
1542,冷氣/冷暖空調
1543,電鍋
1544,運動鞋
1545,洗衣皂
1546,洗髮精
1547,即飲紅茶
1548,貓乾糧罐頭
1549,RTD調酒
1550,兒童漱口水
1551,貓零食
1552,兒童牙刷
